pop_size,mutation_rate,crossover_rate,run_id,generation,best_fitness,avg_fitness,best_string,distance_to_target,total_time_sec,found
50,0.005,0.7,4,720,64,57.84,11010000000001000100101111111111,0,0.2855257987976074,1
50,0.005,0.7,5,1000,60,58.6,11010000001101000000101111101111,4,0.39865779876708984,0
50,0.005,0.7,6,133,64,58.02,11010000000001000100101111111111,0,0.053591251373291016,1
50,0.005,0.7,7,468,64,58.56,11010000000001000100101111111111,0,0.1863090991973877,1
50,0.005,0.7,8,309,64,60.68,11010000000001000100101111111111,0,0.12262487411499023,1
50,0.005,0.7,9,445,64,58.64,11010000000001000100101111111111,0,0.1770641803741455,1
50,0.005,0.7,10,99,64,57.24,11010000000001000100101111111111,0,0.0409703254699707,1
50,0.005,0.9,1,737,64,57.68,11010000000001000100101111111111,0,0.31464695930480957,1
50,0.005,0.9,2,1000,62,58.2,11010000000101000000101111111111,2,0.4336388111114502,0
50,0.005,0.9,3,953,64,57.86,11010000000001000100101111111111,0,0.40136075019836426,1
50,0.005,0.9,4,521,64,57.88,11010000000001000100101111111111,0,0.22249293327331543,1
50,0.005,0.9,5,1000,62,58.2,11010000000001000101101110111111,2,0.48745274543762207,0
50,0.005,0.9,6,485,64,56.4,11010000000001000100101111111111,0,0.2124035358428955,1
50,0.005,0.9,7,972,64,58.22,11010000000001000100101111111111,0,0.4286797046661377,1
50,0.005,0.9,8,259,64,57.0,11010000000001000100101111111111,0,0.11558771133422852,1
50,0.005,0.9,9,479,64,56.74,11010000000001000100101111111111,0,0.2123122215270996,1
50,0.005,0.9,10,1000,62,57.9,11010000000101000000101111111111,2,0.43419837951660156,0
50,0.01,0.5,1,217,64,58.22,11010000000001000100101111111111,0,0.08802461624145508,1
50,0.01,0.5,2,101,64,56.62,11010000000001000100101111111111,0,0.03982424736022949,1
50,0.01,0.5,3,306,64,58.34,11010000000001000100101111111111,0,0.12093710899353027,1
50,0.01,0.5,4,217,64,58.48,11010000000001000100101111111111,0,0.08654618263244629,1
50,0.01,0.5,5,276,64,58.68,11010000000001000100101111111111,0,0.10827207565307617,1
50,0.01,0.5,6,286,64,58.08,11010000000001000100101111111111,0,0.11917924880981445,1
50,0.01,0.5,7,134,64,58.0,11010000000001000100101111111111,0,0.05136871337890625,1
50,0.01,0.5,8,84,64,59.12,11010000000001000100101111111111,0,0.03457760810852051,1
50,0.01,0.5,9,165,64,57.22,11010000000001000100101111111111,0,0.06279706954956055,1
50,0.01,0.5,10,354,64,59.78,11010000000001000100101111111111,0,0.13519644737243652,1
50,0.01,0.7,1,460,64,57.38,11010000000001000100101111111111,0,0.18707633018493652,1
50,0.01,0.7,2,155,64,59.44,11010000000001000100101111111111,0,0.064300537109375,1
50,0.01,0.7,3,224,64,58.14,11010000000001000100101111111111,0,0.09233927726745605,1
50,0.01,0.7,4,90,64,57.3,11010000000001000100101111111111,0,0.03764081001281738,1
50,0.01,0.7,5,202,64,56.06,11010000000001000100101111111111,0,0.08173394203186035,1
50,0.01,0.7,6,254,64,55.52,11010000000001000100101111111111,0,0.10340690612792969,1
50,0.01,0.7,7,203,64,59.2,11010000000001000100101111111111,0,0.08271193504333496,1
50,0.01,0.7,8,88,64,58.3,11010000000001000100101111111111,0,0.03613543510437012,1
50,0.01,0.7,9,102,64,57.8,11010000000001000100101111111111,0,0.042615413665771484,1
50,0.01,0.7,10,116,64,56.7,11010000000001000100101111111111,0,0.047750234603881836,1
50,0.01,0.9,1,957,64,58.54,11010000000001000100101111111111,0,0.4136228561401367,1
50,0.01,0.9,2,309,64,58.4,11010000000001000100101111111111,0,0.132951021194458,1
50,0.01,0.9,3,372,64,57.36,11010000000001000100101111111111,0,0.1585075855255127,1
50,0.01,0.9,4,137,64,57.22,11010000000001000100101111111111,0,0.05845236778259277,1
50,0.01,0.9,5,412,64,57.52,11010000000001000100101111111111,0,0.17556357383728027,1
50,0.01,0.9,6,458,64,58.76,11010000000001000100101111111111,0,0.19405055046081543,1
50,0.01,0.9,7,161,64,57.28,11010000000001000100101111111111,0,0.06879448890686035,1
50,0.01,0.9,8,224,64,58.2,11010000000001000100101111111111,0,0.09529614448547363,1
50,0.01,0.9,9,330,64,58.02,11010000000001000100101111111111,0,0.14034223556518555,1
50,0.01,0.9,10,90,64,56.72,11010000000001000100101111111111,0,0.03819918632507324,1
100,0.001,0.5,1,1000,58,56.31,10011001000000000100111111011111,6,0.9156639575958252,0
100,0.001,0.5,2,1000,58,55.54,11010100100000000100011111101111,6,0.9206752777099609,0
100,0.001,0.5,3,1000,60,57.73,01010100000101000100101111111101,4,0.9046471118927002,0
100,0.001,0.5,4,1000,56,55.18,11011000001001010000111110011101,8,0.9183592796325684,0
